year,가톨릭,합격인원,건국대,합격인원,경희대,합격인원,고려대,합격인원,광운대,합격인원,단국대,합격인원,덕성여대,합격인원,동국대,합격인원,동덕여대,합격인원,서강대,합격인원,서울과기대,합격인원,서울시립대,합격인원,성균관대,합격인원,성신여대,합격인원,세종대,합격인원,숙명여대,합격인원,숭실대,합격인원,아주대,합격인원,연세대,합격인원,이화여대,합격인원,인하대,합격인원,중앙대,합격인원,중앙대(다빈치),합격인원,한양대,합격인원,항공대,합격인원,홍익대,합격인원,,학교명,논술유형,수능최저
2025,88,2,,,97,1,100,1,69,4,94,2,84,3,88,2,76,3,97,1,81,3,99,1,94,2,99,1,88,2,81,3,97,1,91,2,99,1,88,2,84,3,94,2,81,3,99,1,84,3,81,3,,세종대,"수, 수Ⅰ, 수Ⅱ, 미적분","국,수,영,탐(1) 중 2개 합 5"
2025,69,4,96,1,97,1,84,3,91,2,88,2,81,3,88,2,72,4,99,1,81,3,96,1,91,2,,,81,3,74,4,88,2,88,2,99,1,94,2,,,94,2,88,2,94,2,81,3,88,2,,숙명여대,"수, 수Ⅰ, 수Ⅱ, 미적분","자연 : 국,수,영,탐(1) 중 2개 합 5
약학 : 국,수,영,탐(1) 중 3개 합 4(수 포함)"
2025,88,2,97,1,97,1,97,1,,,91,2,84,3,,,94,2,100,1,96,1,88,2,94,2,65,4,99,1,94,2,97,1,76,3,91,2,81,3,88,2,94,2,81,3,94,2,94,2,97,1,,숭실대,"수, 수Ⅰ, 수Ⅱ, 미적분","국,수,영,탐(1) 중 2개 합 6"
2025,56,5,92,2,94,2,98,1,88,2,81,3,69,4,81,3,97,1,81,3,79,3,88,2,99,1,84,3,94,2,88,2,81,3,74,4,96,1,88,2,98,1,76,3,81,3,,,97,1,96,1,,아주대,"수, 수Ⅰ, 수Ⅱ, 미적분","의학 : 국,수,영,탐 4개 합 6
약학 : 국,수,영,탐 중 3개 합 5"
2025,60,4,69,4,81,3,84,3,99,1,81,3,84,3,94,2,81,3,100,1,91,2,97,1,97,1,88,2,94,2,94,2,91,2,94,2,88,2,88,2,88,2,97,1,,,99,1,69,4,79,3,,연세대,"수학 교과 전 과목 /
수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하(연세대(미래)(의예))",없음.
2025,63,4,94,2,86,3,99,1,88,2,76,3,81,3,79,3,60,4,,,88,2,88,2,99,1,76,3,81,3,69,4,97,1,97,1,99,1,97,1,88,2,97,1,,,88,2,56,5,76,3,,이화여대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","자연 : 국,수,영,탐(1) 중 2개 합 5(수 포함)
약학 : 국,수,영,탐(1) 4개 합 6
의예 : 국,수,영,탐(1) 4개 합 5
스크랜튼학부 : 국,수,영,탐(1) 중 3개 합 5"
2025,81,3,94,2,84,3,96,1,94,2,81,3,76,3,97,1,97,1,,,88,2,97,1,88,2,,,88,2,96,1,97,1,88,2,94,2,97,1,72,4,99,1,,,91,2,88,2,97,1,,인하대,"수, 수Ⅰ, 수Ⅱ, 미적분","의예 : 국,수,영,과 중 3개 각 1"
2025,74,4,100,1,88,2,91,2,81,3,76,3,76,3,96,1,84,3,,,99,1,97,1,100,1,76,3,91,2,97,1,88,2,99,1,97,1,91,2,88,2,100,1,,,99,1,69,4,76,3,,중앙대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","자연 : 국,수,영,탐(1) 중 3개 합 6, 한 4, 영어 2등급은 1등급으로 인정
약학 : 국,수,영,탐(1) 중 4개 합 5, 한 4, 영어 2등급은 1등급으로 인정
의학 :  국,수,영,탐 중 4개 합 5, 한 4, 영어 2등급은 1등급으로 인정"
2025,63,4,99,1,88,2,94,2,84,3,97,1,84,3,94,2,97,1,,,97,1,94,2,97,1,76,3,91,2,94,2,88,2,94,2,97,1,88,2,99,1,97,1,,,97,1,94,2,94,2,,중앙대(다빈치),"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","자연 : 국,수,영,탐(1) 중 3개 합 6, 한 4, 영어 2등급은 1등급으로 인정
약학 : 국,수,영,탐(1) 중 4개 합 5, 한 4, 영어 2등급은 1등급으로 인정
의학 :  국,수,영,탐 중 4개 합 5, 한 4, 영어 2등급은 2등급으로 인정"
2025,74,4,88,2,94,2,88,2,97,1,72,4,76,3,88,2,76,3,,,91,2,97,1,100,1,81,3,60,4,88,2,91,2,94,2,94,2,88,2,88,2,96,1,,,99,1,88,2,94,2,,한양대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","자연 : 국,수,영,탐(1) 중 3개 합 7(국,수,영,탐 2과목 필수 응시)
의예 : 국,수,영,탐 중 3개 합 4(국,수,영,탐 2과목 필수 응시)"
2025,74,4,81,3,99,1,99,1,88,2,76,3,88,2,94,2,81,3,,,88,2,97,1,94,2,81,3,97,1,79,3,81,3,88,2,98,1,84,3,97,1,97,1,,,94,2,60,4,88,2,,항공대,"수, 수Ⅰ, 수Ⅱ (이학) /
수, 수Ⅰ, 수Ⅱ, 미적분 (공학)","국,수,영,탐(1) 중 2개 합 6"
2025,81,3,88,2,96,1,94,2,81,3,81,3,69,4,96,1,81,3,,,94,2,97,1,81,3,81,3,91,2,94,2,88,2,76,3,99,1,84,3,84,3,94,2,,,91,2,72,4,100,1,,홍익대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","국,수,영,탐(1) 중 2개 합 5, 한국사 4"
2025,67,4,94,2,84,3,100,1,99,1,67,4,81,3,94,2,81,3,,,74,4,79,3,88,2,88,2,97,1,72,4,94,2,97,1,97,1,94,2,88,2,97,1,,,100,1,76,3,100,1,,,,
2025,81,3,97,1,88,2,91,2,94,2,94,2,76,3,91,2,67,4,,,79,3,81,3,99,1,88,2,94,2,81,3,65,4,88,2,99,1,97,1,94,2,94,2,,,97,1,60,4,92,2,,,,
2025,94,2,88,2,91,2,99,1,94,2,76,3,65,4,91,2,81,3,,,94,2,91,2,81,3,94,2,74,4,81,3,88,2,67,4,99,1,91,2,97,1,94,2,,,97,1,76,3,88,2,,,,
2025,97,1,69,4,99,1,99,1,81,3,81,3,74,4,94,2,76,3,,,88,2,,,94,2,81,3,96,1,94,2,81,3,94,2,99,1,81,3,88,2,96,1,,,96,1,81,3,94,2,,,,
2025,69,4,97,1,94,2,97,1,67,4,97,1,,,81,3,60,4,,,81,3,,,100,1,60,4,92,2,88,2,74,4,97,1,99,1,79,3,88,2,100,1,,,84,3,74,4,96,1,,,,
2025,76,3,94,2,94,2,99,1,88,2,94,2,,,94,2,76,3,,,94,2,,,94,2,,,84,3,74,4,88,2,88,2,97,1,91,2,,,96,1,,,99,1,76,3,99,1,,,,
2025,88,2,88,2,97,1,99,1,96,1,97,1,,,91,2,69,4,,,69,4,,,96,1,79,3,81,3,88,2,97,1,99,1,94,2,94,2,94,2,81,3,,,97,1,79,3,94,2,,,,
2025,65,4,91,2,97,1,99,1,,,91,2,,,94,2,,,,,88,2,,,97,1,88,2,88,2,97,1,94,2,88,2,99,1,88,2,79,3,84,3,,,,,97,1,91,2,,,,
2025,78,3,99,1,94,2,99,1,74,4,94,2,,,88,2,,,,,99,1,,,99,1,84,3,74,4,91,2,97,1,,,100,1,88,2,94,2,,,,,100,1,76,3,94,2,,,,
2025,,,88,2,81,3,94,2,97,1,94,2,,,91,2,,,,,97,1,,,,,88,2,97,1,,,94,2,,,94,2,97,1,,,97,1,,,,,91,2,94,2,,,,
2025,,,88,2,97,1,94,2,88,2,65,4,,,94,2,,,,,88,2,,,99,1,81,3,91,2,,,88,2,,,94,2,88,2,63,4,94,2,,,88,2,81,3,74,4,,,,
2025,,,99,1,97,1,99,1,88,2,67,4,,,99,1,,,,,76,3,,,99,1,65,4,97,1,,,88,2,,,100,1,94,2,,,97,1,,,,,88,2,88,2,,,,
2025,,,91,2,94,2,91,2,81,3,88,2,,,88,2,,,,,74,4,,,88,2,81,3,97,1,,,79,3,,,99,1,96,1,98,1,99,1,,,81,3,84,3,84,3,,,,
2025,,,88,2,97,1,97,1,88,2,81,3,,,88,2,,,,,91,2,,,100,1,69,4,94,2,,,84,3,,,98,1,94,2,91,2,94,2,,,100,1,81,3,94,2,,,,
2025,,,94,2,97,1,100,1,,,88,2,,,94,2,,,,,84,3,,,94,2,81,3,88,2,,,76,3,,,88,2,97,1,79,3,69,4,,,97,1,88,2,88,2,,,,
2025,,,97,1,97,1,100,1,97,1,94,2,,,97,1,,,,,97,1,,,97,1,88,2,88,2,,,72,4,,,81,3,97,1,81,3,88,2,,,94,2,81,3,97,1,,,,
2025,,,99,1,97,1,97,1,84,3,94,2,,,88,2,,,,,97,1,,,100,1,74,4,88,2,,,88,2,,,100,1,99,1,88,2,,,,,88,2,94,2,88,2,,,,
2025,,,94,2,97,1,99,1,79,3,,,,,74,4,,,,,81,3,,,98,1,67,4,94,2,,,97,1,,,99,1,,,94,2,97,1,,,84,3,69,4,100,1,,,,
2025,,,42,5,91,2,94,2,94,2,94,2,,,99,1,,,,,97,1,,,99,1,,,88,2,,,88,2,,,97,1,,,,,94,2,,,94,2,81,3,97,1,,,,
2025,,,91,2,91,2,81,3,91,2,84,3,,,91,2,,,,,94,2,,,99,1,,,94,2,,,69,4,,,94,2,,,88,2,94,2,,,99,1,81,3,99,1,,,,
2025,,,92,2,88,2,94,2,97,1,81,3,,,76,3,,,,,94,2,,,97,1,,,91,2,,,97,1,,,91,2,,,88,2,,,,,97,1,96,1,97,1,,,,
2025,,,99,1,97,1,94,2,69,4,88,2,,,99,1,,,,,74,4,,,86,3,,,76,3,,,88,2,,,97,1,,,94,2,97,1,,,99,1,88,2,94,2,,,,
2025,,,94,2,97,1,97,1,97,1,97,1,,,79,3,,,,,97,1,,,99,1,,,94,2,,,81,3,,,88,2,,,88,2,94,2,,,99,1,81,3,94,2,,,,
2025,,,88,2,74,4,98,1,94,2,97,1,,,88,2,,,,,81,3,,,99,1,,,81,3,,,88,2,,,97,1,,,88,2,94,2,,,88,2,81,3,84,3,,,,
2025,,,94,2,97,1,99,1,81,3,56,5,,,88,2,,,,,74,4,,,88,2,,,91,2,,,94,2,,,97,1,,,97,1,94,2,,,97,1,81,3,99,1,,,,
2025,,,97,1,97,1,100,1,81,3,67,4,,,94,2,,,,,94,2,,,94,2,,,88,2,,,74,4,,,96,1,,,86,3,97,1,,,97,1,81,3,97,1,,,,
2025,,,94,2,94,2,97,1,76,3,81,3,,,88,2,,,,,94,2,,,97,1,,,91,2,,,94,2,,,94,2,,,94,2,88,2,,,97,1,88,2,99,1,,,,
2025,,,99,1,100,1,97,1,94,2,74,4,,,88,2,,,,,97,1,,,97,1,,,94,2,,,88,2,,,88,2,,,94,2,100,1,,,97,1,94,2,94,2,,,,
2025,,,97,1,94,2,99,1,81,3,76,3,,,99,1,,,,,84,3,,,97,1,,,88,2,,,81,3,,,97,1,,,88,2,97,1,,,94,2,88,2,91,2,,,,
2025,,,97,1,91,2,88,2,81,3,79,3,,,88,2,,,,,81,3,,,100,1,,,88,2,,,99,1,,,94,2,,,81,3,97,1,,,88,2,74,4,88,2,,,,
2025,,,97,1,88,2,94,2,88,2,76,3,,,81,3,,,,,81,3,,,97,1,,,76,3,,,96,1,,,,,,,88,2,97,1,,,94,2,88,2,81,3,,,,
2025,,,94,2,97,1,88,2,84,3,,,,,97,1,,,,,69,4,,,91,2,,,88,2,,,98,1,,,86,3,,,94,2,94,2,,,100,1,94,2,97,1,,,,
2025,,,99,1,97,1,100,1,,,,,,,81,3,,,,,69,4,,,76,3,,,94,2,,,69,4,,,,,,,69,4,97,1,,,97,1,81,3,100,1,,,,
